TJD OPM Warehouse Stock with Age Report
**************************************************
SNo|Orgn Code|Inv Code|Whse Code|Location|Item Code|Item Description|Lot Number|Lot Age|Current Age|Stk Qty1|UOM1|Stk Qty2|UOM2|Free Stk Qty1|Free Stk Qty2|Stone Shape|Stone colour|Stone Quality|Stone Size|Value|Inwarding No|Vendor Name/Remarks|vendor_code|Vendor Site|FSN Ind|Material Type|Material Group|Stone Category|Sub Category|Karatage|Purity|SalesOrder Remarks|FG Name|User Name|User Desc|Approx UCP Value|Order Type|PO Num|HM Center|Piece Count|Verdict|Status|Unique_Reference|HM Shipped Date|HM Vendor Ack Date|HM Factory Rec Date|HM Request No
4|ROS|JMO|S1FS|BFRP-S1FS|511618CAMKAA00|22KT -1618CAM - CHAIN VPIM5|SVS2511794|2|2|1|NOS|14.58|GMS|1|14.58|||||||||||GO||||22|91.600||0|||68434.00|||||||||||
5|ROS|JMO|S1FS|BFRP-S1FS|513318FDZLAB19|3318FDZ- FINGER RING -CORE 15-VD|TCB2511653|3|3|1|NOS|3|GMS|1|3||NA|NA||||||||GO||||22|91.600||0|||31608|||||||||||
6|ROS|JMO|S1FS|BFRP-S1FS|516061VAAE1A00|22KT -6061VAA -BANGLE (IIJS - ONE TIME PICKUP)|KBO2510864|2|2|1|NOS|6.93|GMS|1|6.93|||||||||||GO||||22|91.600||0|||37765.00|||||||||||
7|ROS|JMO|S1FS|BFRP-S1FS|51AFSSNAAAAA00|22KT - NECKLACE - AFS.SERVICE|TJY2510172|5|5|1|NOS|55.16|GMS|1|55.16|||||0||||||GO||||22|91.600||0||||||||||||||
8|ROS|JMO|S1FS|BFRP-S1FS|51AFSSVAAAAA00|22KT - BANGLE - AFS.SERVICE|CBE2510784|3|3|1|NOS|21.27|GMS|1|21.27|||||||||||GO||||22|91.600||0||||||||||||||
9|ROS|JMO|S1FS|BFRP-S1FS|51AFSSVAAAAA00|22KT - BANGLE - AFS.SERVICE|SVS2511777|3|3|1|NOS|14.18|GMS|1|14.18|||||||||||GO||||22|91.600||0||||||||||||||
10|ROS|JMO|S1FS|BFRP-S1FS|51D1D2DHVABA40|D1D2DHV- DROP EARRING-CORE-20 EVERY DAY COLLECTION-VD|CGD2511572|2|2|1|PR|4.79|GMS|1|4.79||NA|NA||||||||GO||||22|91.600||0|||48894|||||||||||
11|ROS|JMO|S1FS|BFRP-S1FS|51M4I1VGLE1A00|M4I1VGL BANGLE PLAIN CORE 26 ICC-IH|CRB2511547|2|2|1|NOS|13.46|GMS|1|13.46|||||||||||GO||||22|91.600||0|||106546|||||||||||
12|ROS|JMO|S1FS|BFRP-S1FS|51TEPGRPXXXP00|TEP-PRDT 22KT GROUPING (91.7% PURITY)-|TRH2500833|3|3|1|NOS|37.89|GMS|1|37.89|||||||||||GO||||22|91.600||0|||335346.00|||||||||||
13|ROS|JMO|S1FS|BFRP-S1FS|51W2PTCNLOAA28|W2PTCNL- CHAIN-PILOT-VD|CGD2511571|2|2|1|NOS|72.05|GMS|1|72.05||E-F|VVS||||||||GO||||22|91.600||0|||1426094|||||||||||
14|ROS|JMO|S1FS|BFRP-S1FS|552812VACE1A02|2812VAC BANGLE-MIA 7 -IH|TCB2511642|3|3|1|NOS|5.28|GMS|1|5.28||G-H|SI2||||||||GO||||14|58.500||0|||57072|||||||||||
15|ROS|JMO|S1FS|BFRP-S1FS|552819NCOAAA09|2819NCO- NECKWEAR-MIA_CORE-VD-MIA CLASSICS|MCP2510016|4|4|1|NOS|3.94|GMS|1|3.94||G-H|I1/I2||0||||||GO||||14|58.500||0|||45705|||||||||||
16|ROS|JMO|S1FS|BFRP-S1FS|55AFSSSAAAAA30|14KT - OTHERS - AFS.SERVICE|MCB2510060|2|2|1|PR|.41|GMS|1|.41||F-G|VVS||||||||GO||||14|58.500||0||||||||||||||
17|ROS|JMO|S1FS|BFRP-S1FS|BLG007DHNAJA31|G007DHN DROP EARRING|SVS2511737|7|7|1|PR|2.5|GMS|1|2.5||G-H|VVS1||0||||||GO||||18|75.000||0||||||||||||||
18|ROS|JMO|S1FS|CONS-S1FS|15MICZA002|BOB TAPE 1" ( PLAIN )|2B|6363|21|20|ROL|0||20||||||17.6772713714310786974816529619925179534||||||||||N/A|N/A||0||||||||||||||
19|ROS|JMO|S1FS|CONS-S1FS|15MICZA013|BOP TAPE  2INCH (TIL WH ) MAROON BG WITH MILKY WHITE LR|2B|4624|21|20|NOS|0||20||||||37.9979199827022795208532829138572019794||||||||||N/A|N/A||0||||||||||||||
20|ROS|JMO|S1FS|CONS-S1FS|15MIHZA013|SELF SEALING COVERS - 2*3 (250GSM-RL-WITHOUT OXO WITHOUT PRINT)|2B|5422|2215|2000|NOS|0||2000||||||.141314599212704537948080278826148462616||||||||||N/A|N/A||0||||||||||||||
21|ROS|JMO|S1FS|CONS-S1FS|15MIHZA014|SELF SEALING COVERS - 3"*4" (250GSM-RL-WITHOUT OXO - WITHOUT PRINT)|2B|5422|2215|2000|NOS|0||2000||||||.253735311204990370110049180498184863625||||||||||N/A|N/A||0||||||||||||||
22|ROS|JMO|S1FS|CONS-S1FS|15MIHZA022|SELF SEALING COVERS - 6* 9 (250GSM-RL-WITHOUT OXO WITHOUT PRINT)|2B|3271|2215|6500|NOS|0||6500||||||.793379445721153329266034341675078654134||||||||||N/A|N/A||0||||||||||||||
23|ROS|JMO|S1FS|CONS-S1FS|15MIHZA025|SELF SEALING COVERS - 2 X 3 (60 MIC 240 GSM W/O OXO PRINT)|2B|2074|21|2500|NOS|0||2500||||||.215627585734177171250061360548125708216||||||||||N/A|N/A||0||||||||||||||
24|ROS|JMO|S1FS|CONS-S1FS|15MIHZA026|SELF SEALING COVERS - 3 X 4 (60 MIC 240 GSM W/O OXO PRINT)|2B|2074|180|2500|NOS|0||2500||||||.292608265321973259246912037939874157088||||||||||N/A|N/A||0||||||||||||||
25|ROS|JMO|S1FS|CONS-S1FS|15MIHZA030|SELF SEALING COVERS - 6 X 9 (60 MIC 240 GSM W/O OXO PRINT)|2B|2074|21|19500|NOS|0||19500||||||.963651123124362857167893058450842894689||||||||||N/A|N/A||0||||||||||||||
26|ROS|JMO|S1FS|CONS-S1FS|15STAZA106|HANDLE WITH CARE STICKERS-BIG|2B|4129|21|9000|NOS|0||9000||||||2.51603672235959560283203466093590265788||||||||||N/A|N/A||0||||||||||||||
27|ROS|JMO|S1FS|CONS-S1FS|15STAZA108|HANDLE WITH CARE STICKERS-SMALL|2B|4129|823|500|NOS|0||500||||||1.51761520888342997766534595817626952777||||||||||N/A|N/A||0||||||||||||||
28|ROS|JMO|S1FS|GOOD-S1FS|11GOHYM001|14KT REF.SAMPLE (SPECTRA)|3I|4959|2|59.424|GMS|0||59.424||||||5785.26246687693732519192332882599754608||||||GO||||14|58.500||0||||||||||||||
29|ROS|JMO|S1FS|GOOD-S1FS|11GOLYM001|18 KT YG ALLOY WITH 22KT COLOUR|3I|7374|2|148.778|GMS|0||148.778||||||6312.81798492152593702290730449754195225||||||GO||||18|75.000||0||||||||||||||
30|ROS|JMO|S1FS|GOOD-S1FS|11GOPYM001|22KT YG FOR JOB WORK|3I|7228|2|100.246|GMS|0||100.246||||||8548.43174751454320181661502758520764613||||||GO||||22|91.600||0||||||||||||||
31|ROS|JMO|S1FS|GOOD-S1FS|11GOPYO001AF|22KT YG SOLDER STRIP- SOFT|3I|2431|25|2.865|GMS|0||2.865||||||8627.70998169899739956281332729954813667||||||GO||||22|91.600||0||||||||||||||
32|ROS|JMO|S1FS|GOOD-S1FS|11PTZWM002|RAW PLATINUM|3I|7131|23|.43|GMS|0||.43||||||3557.35169531101162672097891225493790983||||||PT||||N/A|N/A||0||||||||||||||
33|ROS|JMO|S1FS|GOOD-S1FS|21AMBBVT3060|AMETHYST-BAGUETTE-CUT-B-3*6|2B|7391|48|.395|CTS|1|NOS|.395|1||E-F|VS-SI1||349.999830609866338354538448475835959853||||||||||N/A|N/A||0||||||||||||||
34|ROS|JMO|S1FS|GOOD-S1FS|21AMMBVT2040|AMETHYST-MARQUISE-CUT-B-2*4|2B|7391|214|.07|CTS|1|NOS|.07|1||E-F|VS-SI1||249.616512386242141953129608039097448401||||||||||N/A|N/A||0||||||||||||||
35|ROS|JMO|S1FS|GOOD-S1FS|21CARBWB0200|CAT'S -EYE-ROUND-CAB-B-2|2B|7391|67|.096|CTS|2|NOS|.096|2||W|VS-SI1||499.580963623511202688931340764858046375||||||||||N/A|N/A||0||||||||||||||
36|ROS|JMO|S1FS|GOOD-S1FS|21CARBWB0230|CAT'S -EYE-ROUND-CAB-B-2.3|2B|7391|112|.07|CTS|1|NOS|.07|1||W|VS-SI1||432.599627868529181563775127296756290179||||||||||N/A|N/A||0||||||||||||||
37|ROS|JMO|S1FS|GOOD-S1FS|21CARBWB0300|CAT'S -EYE-ROUND-CAB-B-3|2B|7391|576|.121|CTS|1|NOS|.121|1||W|VS-SI1||499.999902452027608283412231238366433784||||||||||N/A|N/A||0||||||||||||||
38|ROS|JMO|S1FS|GOOD-S1FS|21CIMBYT2040|CITRINE-MARQUISE-CUT-B-2*4|2B|7391|342|.07|CTS|1|NOS|.07|1||YCHP|VS-SI1||245.799109376361404697851549769030202793||||||||||N/A|N/A||0||||||||||||||
39|ROS|JMO|S1FS|GOOD-S1FS|21CZMSWT1530|CUBIC ZIRCONIA-MARQUISE-CUT-SIG-1.5*3|2B|797|2|.05|CTS|1|NOS|.05|1||W|SI3||234.934133581634309801345334362069773638||||||||||N/A|N/A||0||||||||||||||
40|ROS|JMO|S1FS|GOOD-S1FS|21DIBCAT0250|DIAMOND-BAGUETTE-CUT-WHITEVS-2.5-B|2B|7391|439|.031|CTS|1|NOS|.031|1||G-H|VS||43626.6433329359023302525489899054598424||||||||||N/A|N/A||0||||||||||||||
41|ROS|JMO|S1FS|GOOD-S1FS|21DIBRAT0240|DIAMOND-BAGUETTE-CUT-SI2-G~H-2.4|2B|7391|4|.074|CTS|3|NOS|.074|3||G-H|SI2||34420.3340661295451486913983549462684588||||||||||N/A|N/A||0||||||||||||||
42|ROS|JMO|S1FS|GOOD-S1FS|21DIBVAT0300|DIAMOND-BAGUETTE-CUT-VVS1-G~H-3|2B|2443|432|.043|CTS|1|NOS|.043|1||G-H|VVS1||23230||||||||||N/A|N/A||0||||||||||||||
43|ROS|JMO|S1FS|GOOD-S1FS|21DIRCAT0080|DIAMOND-ROUND-CUT-VS-G~H-.80|2B|3803|258|.002|CTS|1|NOS|.002|1||G-H|VS||40331.950255150520094786581500356238706||||||||||N/A|N/A||0||||||||||||||
44|ROS|JMO|S1FS|GOOD-S1FS|21DIRCAT0090|DIAMOND-ROUND-CUT-VS-G~H-.90|2B|4083|25|.004|CTS|1|NOS|.004|1||G-H|VS||37601.72997697694701251645664047935967||||||||||N/A|N/A||0||||||||||||||
45|ROS|JMO|S1FS|GOOD-S1FS|21DIRCAT0100|DIAMOND-ROUND-CUT-WHITEVS-1|2B|7391|45|.023|CTS|5|NOS|.023|5||G-H|VS||38567.0152705221832192733384915017853953||||||||||N/A|N/A||0||||||||||||||
46|ROS|JMO|S1FS|GOOD-S1FS|21DIRCAT0110|DIAMOND-ROUND-CUT-WHITEVS-1.1|2B|7391|166|.0263|CTS|4|NOS|.026|4||G-H|VS||39722.0607681583070124942689671253341088||||||||||N/A|N/A||0||||||||||||||
47|ROS|JMO|S1FS|GOOD-S1FS|21DIRCAT0120|DIAMOND-ROUND-CUT-WHITEVS-1.2|2B|7391|25|.007|CTS|1|NOS|.007|1||G-H|VS||38455.4096162216565739892555190255914349||||||||||N/A|N/A||0||||||||||||||
48|ROS|JMO|S1FS|GOOD-S1FS|21DIRCAT0150|DIAMOND-ROUND-CUT-WHITEVS-1.5|2B|5006|42|.0143|CTS|1|NOS|.014|1||G-H|VS||36887.6853610104626739469706124042232812||||||||||N/A|N/A||0||||||||||||||
49|ROS|JMO|S1FS|GOOD-S1FS|21DIRCAT0170|DIAMOND-ROUND-CUT-WHITEVS-1.7|2B|7391|42|.02|CTS|1|NOS|.02|1||G-H|VS||35112.3165373999104677960285347480048913||||||||||N/A|N/A||0||||||||||||||
50|ROS|JMO|S1FS|GOOD-S1FS|21DIRCAT0190|DIAMOND-ROUND-CUT-WHITEVS-1.9|2B|7391|5|.138|CTS|5|NOS|.138|5||G-H|VS||35054.1222643815560213326845729945821353||||||||||N/A|N/A||0||||||||||||||
51|ROS|JMO|S1FS|GOOD-S1FS|21DIRCAT0230|DIAMOND-ROUND-CUT-WHITEVS-2.3|2B|7391|795|.103|CTS|2|NOS|.103|2||G-H|VS||39849.4217675098420876643775041881913049||||||||||N/A|N/A||0||||||||||||||
52|ROS|JMO|S1FS|GOOD-S1FS|21DIRCAT0235|DIAMOND-ROUND-CUT-WHITEVS-2.35|2B|7391|1801|.05|CTS|1|NOS|.05|1||G-H|VS||39953.5969652828373005711578274848055091||||||||||N/A|N/A||0||||||||||||||
53|ROS|JMO|S1FS|GOOD-S1FS|21DIRCAT0250|DIAMOND-ROUND-CUT-WHITEVS-2.5|2B|7391|252|.121|CTS|2|NOS|.121|2||G-H|VS||41162.4920411596947717215876072293093265||||||||||N/A|N/A||0||||||||||||||
54|ROS|JMO|S1FS|GOOD-S1FS|21DIRJAT0100|DIAMOND-ROUND-CUT-I2 - G~H-1.00|2B|5006|16|.025|CTS|4|NOS|.025|4||G-H|I1/I2||27163.9123121638900182386807723349090041||||||||||N/A|N/A||0||||||||||||||
55|ROS|JMO|S1FS|GOOD-S1FS|21DIRJAT0115|DIAMOND-ROUND-CUT-I2 - G~H-1.15|2B|5006|73|.0057|CTS|1|NOS|.006|1||G-H|I1/I2||27200.8995028891960503892884197345567354||||||||||N/A|N/A||0||||||||||||||
56|ROS|JMO|S1FS|GOOD-S1FS|21DIRJAT0120|DIAMOND-ROUND-CUT-I2 - G~H-1.20|2B|5006|13|.0152|CTS|2|NOS|.015|2||G-H|I1/I2||27281.8427879362717973852829628687236223||||||||||N/A|N/A||0||||||||||||||
57|ROS|JMO|S1FS|GOOD-S1FS|21DIRJAT0125|DIAMOND-ROUND-CUT-I2 - G~H-1.25|2B|5006|45|.0128|CTS|2|NOS|.013|2||G-H|I1/I2||26360.6178871947429968604874958879007975||||||||||N/A|N/A||0||||||||||||||
58|ROS|JMO|S1FS|GOOD-S1FS|21DIRJAT0130|DIAMOND-ROUND-CUT-I2 - G~H-1.30|2B|5006|30|.038|CTS|4|NOS|.038|4||G-H|I1/I2||24767.4831179242142758008120947506412165||||||||||N/A|N/A||0||||||||||||||
59|ROS|JMO|S1FS|GOOD-S1FS|21DIRJAT0135|DIAMOND-ROUND-CUT-I2 - G~H-1.35|2B|5006|227|.05|CTS|5|NOS|.05|5||G-H|I1/I2||25427.881561860033717984470570513852661||||||||||N/A|N/A||0||||||||||||||
60|ROS|JMO|S1FS|GOOD-S1FS|21DIRJAT0155|DIAMOND-ROUND-CUT-I2 - G~H-1.55|2B|5006|13|.028|CTS|2|NOS|.028|2||G-H|I1/I2||25330.4693020650294545953801521303477434||||||||||N/A|N/A||0||||||||||||||
61|ROS|JMO|S1FS|GOOD-S1FS|21DIRJAT0160|DIAMOND-ROUND-CUT-I2 - G~H-1.60|2B|5006|32|.089|CTS|5|NOS|.089|5||G-H|I1/I2||24484.8851203144425755101495864588546265||||||||||N/A|N/A||0||||||||||||||
